amount,transaction_hour,account_age_days,num_prev_transactions,is_foreign,is_high_risk_country,has_chargeback_history,fraud_label
2862.78,3,1926,447,1,1,1,1
4900.37,20,342,115,1,1,1,1
3917.59,5,2817,348,0,1,0,0
2679.32,15,3192,291,1,0,0,0
3384.21,6,1240,204,0,1,1,1
3986.18,7,3687,227,0,0,0,0
289.49,6,1241,97,0,1,0,0
3377.02,22,781,317,0,0,0,0
1376.59,17,2256,253,0,1,1,0
2109.42,20,2968,407,1,1,1,1
4159.29,4,3383,393,1,0,1,1
4374.4,6,1019,26,1,1,0,1
592.46,22,2454,435,1,1,1,1
2234.12,5,3531,474,1,1,1,1
4062.49,19,896,206,1,0,1,1
2163.26,5,2049,319,0,0,0,0
2107.64,9,2732,77,1,0,1,0
967.68,9,679,465,0,1,1,0
3502.15,8,3896,268,1,0,0,0
352.49,14,2578,265,0,1,1,0
984.44,7,2842,221,0,0,1,0
4450.88,6,3291,350,1,1,1,1
2275.09,1,2914,482,1,1,0,1
4463.39,23,449,122,0,0,1,0
2325.87,7,2359,34,0,1,1,0
4844.31,22,3998,155,1,0,0,0
501.48,17,1597,75,1,0,1,0
4246.78,20,3540,105,1,0,0,0
4226.62,5,1904,4,0,0,1,1
3629.74,16,901,81,1,0,0,0
1522.72,16,656,368,1,1,1,1
526.98,17,3540,457,0,1,0,0
809.35,7,3986,397,1,0,0,0
2893.86,15,412,166,1,1,1,1
1283.73,19,1065,284,1,0,1,0
1479.6,17,2749,264,0,0,1,0
2785.4,7,2687,495,0,1,1,1
1692.19,5,2175,474,0,1,0,0
1066.7,23,3412,278,1,1,1,1
3220.13,13,1151,49,0,0,1,0
1295.87,22,917,214,1,0,1,0
887.23,12,3434,246,0,1,0,0
1544.27,20,170,399,0,0,0,0
2797.19,2,622,325,1,0,1,1
646.42,22,3331,411,0,0,0,0
2774.35,11,855,17,0,1,0,0
4680.37,12,1065,177,0,0,1,0
2655.8,12,3415,82,0,1,1,1
4289.66,0,2670,329,0,0,1,1
1004.22,11,222,477,1,0,0,0
2639.72,11,973,235,1,1,1,1
906.15,8,930,286,1,0,0,0
2766.43,4,3725,55,0,0,0,0
1804.92,9,1238,210,0,0,0,0
4102.65,21,1049,184,1,0,1,1
905.62,12,1034,21,0,1,0,0
253.45,4,3340,145,0,1,1,1
4351.08,15,951,112,1,0,1,1
1067.39,10,3873,258,0,0,0,0
154.91,1,2707,158,0,0,0,0
4690.16,7,3320,16,1,0,0,0
1338.7,11,3556,418,1,0,1,0
2013.71,17,415,68,0,0,0,0
1217.98,18,2814,210,1,0,0,0
4497.37,14,1900,308,1,0,1,1
922.37,3,2528,273,1,0,1,1
1186.34,7,447,236,0,0,1,0
4684.82,10,314,272,0,1,1,1
363.1,13,1246,384,1,0,1,0
1726.11,16,3180,261,0,1,0,0
1149.65,13,3433,347,0,0,1,0
896.27,20,3828,288,1,0,0,0
223.11,1,1337,30,0,0,1,0
489.81,17,214,344,0,0,1,0
2100.76,10,1740,295,0,1,1,0
3063.78,8,3870,266,0,0,0,0
4950.99,17,1084,487,0,1,0,0
1446.75,11,2226,132,0,1,1,0
4253.81,13,578,153,0,1,1,1
3078.7,15,244,303,1,0,0,0
922.1,22,2917,400,1,0,0,0
4482.18,14,1842,366,1,0,1,1
2563.89,13,562,302,0,0,0,0
4511.59,0,1467,96,1,0,0,1
4973.01,12,2681,219,0,1,1,1
3402.64,14,3314,109,0,0,1,0
931.47,1,688,282,1,0,0,0
4526.31,3,2910,336,0,0,0,0
1645.44,2,2147,145,1,0,1,1
2569.45,20,3993,88,0,0,1,0
2152.88,22,3510,491,0,1,0,0
4160.18,13,2401,7,1,0,0,0
1149.05,15,3959,269,0,0,0,0
1310.95,19,2182,356,1,0,1,0
1677.09,21,2397,4,0,1,1,1
529.68,2,1502,158,1,0,1,1
4447.48,6,3642,121,0,1,0,0
18.68,12,729,337,0,0,0,0
937.96,7,3559,270,1,1,0,0
4359.66,20,980,436,0,0,0,0
42.71,15,3554,35,1,1,0,0
2734.48,22,1398,161,0,0,0,0
1120.05,9,1373,41,0,1,0,0
1276.08,2,2436,264,1,1,0,1
3810.41,8,2445,288,0,0,0,0
3313.32,22,1851,314,1,0,1,1
2842.92,15,2858,474,1,0,1,1
4983.66,23,617,467,1,0,0,0
4224.33,22,2666,81,0,0,1,0
1135.54,22,2855,66,0,1,1,0
2609.17,8,1144,47,0,0,1,0
1826.4,20,1416,122,1,0,1,0
3105.33,17,50,458,1,1,0,1
1524.71,22,2497,451,1,0,1,0
2232.58,15,409,454,1,1,1,1
2478.77,2,2105,408,1,1,1,1
3813.97,21,699,426,0,1,0,0
3525.55,19,2966,374,1,1,0,1
4956.26,15,3758,337,1,0,0,0
1506.47,15,3914,397,1,0,1,0
114.92,9,427,188,0,0,0,0
514.4,23,3728,224,0,0,0,0
2645.81,14,2332,45,0,1,1,1
2376.82,18,1604,277,1,0,1,0
1140.15,6,3283,285,0,0,1,0
3661.16,19,699,380,0,1,0,0
4811.45,9,2552,376,0,1,1,1
270.36,12,1946,317,1,0,1,0
4354.9,23,220,287,0,0,1,0
844.57,21,3049,127,0,0,1,0
2318.48,20,1761,310,1,0,1,0
3940.04,17,1330,423,1,0,0,0
2682.15,6,2512,429,0,0,0,0
167.03,3,1831,387,1,1,1,1
4223.5,23,2957,226,0,1,1,1
64.25,13,3701,26,0,0,1,0
2659.73,19,2018,299,1,0,1,1
1269.54,18,2036,215,1,1,1,1
4399.71,21,272,230,0,0,1,0
2919.34,19,474,499,1,0,0,0
3683.22,10,696,435,1,0,1,1
4125.21,11,339,380,1,0,1,1
3924.79,14,1896,268,0,1,1,1
2125.54,9,992,500,0,1,0,0
961.41,20,3031,362,0,1,1,0
3897.52,8,2847,390,0,1,1,1
3169.03,17,3772,68,0,1,1,1
441.59,19,589,89,1,0,0,0
4373.56,9,1744,446,1,1,0,1
2128.08,13,3075,252,0,1,0,0
2835.13,23,3285,235,0,0,1,0
3285.28,1,1644,62,1,0,0,1
2363.56,8,1698,207,1,0,1,0
1621.31,20,2995,405,0,1,1,0
26.68,22,3906,400,0,1,1,0
683.61,13,2350,110,1,1,0,0
4925.11,5,261,198,1,1,0,1
3285.66,10,1317,429,0,1,0,0
2230.78,23,1555,254,1,1,1,1
609.36,5,3852,152,1,0,0,0
444.3,17,49,44,0,1,1,1
1529.72,18,2534,334,1,1,1,1
3656.42,18,1199,133,0,1,1,1
2214.64,16,2128,242,1,0,1,0
4816.31,21,3894,475,1,0,0,0
2720.41,9,2650,261,1,1,1,1
2905.98,19,2206,177,1,1,0,1
2642.79,7,490,374,0,0,0,0
2337.54,10,3289,167,1,0,0,0
4204.16,20,388,20,0,0,0,0
1476.57,15,1559,369,1,1,0,0
4619.4,11,3661,67,0,1,1,1
4182.66,23,2727,31,0,1,1,1
834.69,13,1785,14,1,1,1,1
3103.31,20,1694,43,0,0,1,0
2151.98,7,854,41,0,1,0,0
4093.81,10,2451,214,0,1,1,1
3334.19,23,2420,167,0,0,0,0
4040.81,4,199,122,0,1,1,1
4691.12,3,2582,403,1,1,1,1
840.3,10,342,290,0,1,0,0
189.07,3,1245,370,0,0,1,0
2046.76,12,1638,3,1,0,1,1
2389.37,7,837,397,0,0,0,0
387.83,23,921,325,0,1,0,0
370.55,11,2803,353,0,0,0,0
3176.0,14,3505,196,1,1,0,1
1739.69,0,1331,384,1,1,0,1
3994.36,11,2434,281,0,1,0,0
939.89,12,680,255,1,1,0,0
4255.3,9,3378,287,1,0,1,1
4111.98,19,614,362,0,1,1,1
1126.96,16,2684,263,1,0,1,0
4229.24,18,2929,163,1,0,1,1
1298.68,3,582,301,1,1,1,1
374.71,16,3486,177,1,1,0,0
4305.83,22,590,388,1,0,0,0
328.24,18,2506,59,0,0,0,0
3361.53,16,3281,15,0,0,1,0
1786.09,2,1747,134,1,1,1,1
2818.07,9,2743,4,1,1,1,1
3697.82,18,2633,293,1,0,0,0
3927.53,15,3250,468,0,1,0,0
1852.67,12,1032,245,0,1,1,0
755.58,0,3134,304,0,0,1,0
1794.74,21,3563,494,1,1,1,1
3649.3,21,2627,415,1,1,1,1
3934.48,20,3945,283,0,1,0,0
2959.94,11,1353,157,1,1,1,1
2866.05,0,2474,328,0,0,1,1
867.52,7,1975,435,1,1,0,0
2092.72,0,3283,346,1,0,0,0
687.53,22,1535,272,1,0,0,0
492.82,4,3850,137,0,0,1,0
2306.58,7,3815,56,1,1,1,1
771.88,7,3209,152,0,0,0,0
72.82,4,320,167,1,1,0,1
3256.18,2,2188,259,0,1,1,1
2569.23,1,2516,499,1,0,1,1
1857.26,17,291,469,0,0,1,0
4743.92,17,20,419,0,0,0,0
969.76,9,3934,242,0,1,1,0
2261.27,15,2181,376,1,0,0,0
3119.6,5,1036,419,0,1,0,0
4745.66,19,550,177,0,0,0,0
2908.01,12,456,480,1,1,0,1
4688.99,23,1850,465,1,0,1,1
4406.97,16,2721,5,1,1,1,1
3181.04,23,311,6,1,1,0,1
4129.35,0,3544,178,0,0,1,1
3654.35,19,1734,6,1,1,1,1
3436.43,16,587,124,0,0,1,0
1754.53,14,1320,152,0,0,1,0
4948.14,3,1384,95,1,0,0,1
3446.05,9,3470,489,0,1,1,1
742.33,16,2261,169,1,1,0,0
370.21,3,833,458,1,0,0,0
1802.27,4,3374,494,1,1,0,1
2564.84,2,1521,51,0,0,0,0
2363.98,21,1725,363,0,1,0,0
1328.38,3,3233,332,0,1,1,1
4429.54,2,982,71,1,0,1,1
4291.51,12,771,271,1,0,1,1
2311.42,5,3343,50,0,1,0,0
4252.56,18,937,91,0,0,1,0
2161.13,6,2500,167,0,0,1,0
769.37,15,3958,67,1,0,0,0
3424.62,21,2169,178,0,1,1,1
2713.18,11,380,210,0,0,0,0
1717.68,1,2232,239,1,0,0,0
1829.57,19,3902,263,1,1,1,1
3652.36,3,558,216,0,0,0,0
917.22,6,3244,25,0,0,0,0
697.74,21,2479,184,0,0,0,0
4315.15,22,1721,400,1,0,1,1
1199.13,2,1295,136,0,1,0,0
4920.3,7,1351,314,1,0,1,1
3756.13,5,45,336,1,0,1,1
3058.34,8,970,450,1,0,0,0
1656.98,7,1122,33,0,0,1,0
225.03,20,245,195,0,0,1,0
3290.75,6,3664,252,1,1,1,1
2573.87,6,1109,260,0,1,0,0
1340.43,8,3614,119,0,0,1,0
1100.59,0,2706,197,0,0,0,0
4026.23,12,3026,148,1,0,1,1
1903.31,9,3315,242,0,1,1,0
4513.82,16,3007,373,1,1,0,1
3784.72,7,905,405,0,1,1,1
1383.95,23,3869,148,0,0,1,0
1635.25,12,2265,194,0,0,0,0
4751.91,5,3739,217,1,0,0,0
3852.43,9,1126,422,1,1,0,1
3505.83,1,2354,9,0,1,0,1
2440.97,9,1973,78,1,0,1,0
1652.85,13,142,499,1,0,1,0
4825.61,20,2752,40,1,0,0,0
1835.91,17,3404,279,0,0,0,0
405.43,17,2429,0,0,0,0,0
1390.33,8,61,87,0,0,0,0
1231.08,20,624,15,0,0,0,0
1005.8,10,986,446,1,0,0,0
2352.26,14,3121,138,1,1,1,1
2226.98,13,622,286,0,0,0,0
4457.46,9,3715,243,1,1,0,1
3992.69,10,2513,235,0,0,1,0
4122.04,14,202,87,0,1,1,1
1234.76,4,1837,288,1,0,0,0
1778.24,10,593,457,0,0,0,0
1481.89,2,1938,330,1,0,0,0
4360.29,20,3121,237,1,1,1,1
3093.17,15,2018,317,1,1,0,1
724.88,18,1905,232,0,1,0,0
872.02,21,1745,149,1,1,0,0
2161.15,23,2986,45,1,0,1,0
2547.93,12,3426,444,0,0,0,0
2507.5,11,2671,171,1,1,1,1
1210.02,0,3599,165,0,1,1,1
652.77,3,2632,294,0,1,0,0
1348.16,16,2966,24,1,1,1,1
3525.04,4,3959,366,1,0,0,1
3740.18,16,135,148,1,0,1,1
2011.67,14,22,112,0,1,0,0
1112.79,23,998,122,1,1,1,1
4079.08,7,1083,11,0,0,0,0
264.5,15,3299,339,0,1,0,0
402.16,20,2757,227,0,0,0,0
3162.88,22,2545,479,0,1,1,1
3511.1,15,3741,310,1,0,1,1
1899.4,0,1695,420,1,0,1,1
4874.01,7,3789,350,0,1,1,1
2825.12,16,2079,496,1,0,1,1
1584.61,15,2216,1,1,1,1,1
2856.6,17,534,339,0,1,1,1
4752.42,9,3733,145,0,1,1,1
1414.13,3,2349,213,0,0,0,0
59.35,16,2192,211,0,0,1,0
752.88,4,443,145,1,1,1,1
1010.46,1,1273,63,1,1,1,1
262.81,3,458,379,1,1,0,1
2945.83,2,3389,9,1,1,0,1
2391.04,1,1523,189,0,0,0,0
86.53,15,680,375,1,1,0,0
1329.33,16,3529,373,1,0,0,0
4109.0,11,190,249,0,0,0,0
3873.87,4,2623,321,0,0,1,1
1127.17,18,3499,31,0,1,0,0
4594.6,10,2819,496,1,1,1,1
3419.62,13,2564,457,1,0,0,0
3918.73,18,2361,129,1,0,1,1
2749.96,8,2408,454,0,1,0,0
721.37,5,1970,215,1,0,1,0
748.52,19,1691,336,0,0,0,0
4051.83,18,3894,316,0,1,0,0
698.22,10,3763,266,0,0,1,0
4892.43,21,3695,494,1,1,0,1
238.13,23,1908,492,1,0,1,0
3228.72,1,2824,3,1,0,0,1
4491.32,1,366,188,1,1,1,1
1856.35,12,1460,284,0,0,0,0
2408.05,6,2148,396,0,1,0,0
4392.71,9,2643,372,0,0,0,0
2619.61,5,1109,390,0,0,0,0
1238.0,8,301,3,1,1,0,1
2487.94,20,1064,406,0,0,0,0
3190.15,20,3244,467,1,1,1,1
3013.63,10,1787,197,0,1,0,0
2830.17,15,698,3,1,1,1,1
3468.57,4,2652,148,0,1,1,1
1767.97,21,3627,429,1,1,0,0
1439.39,3,3569,182,1,1,1,1
4176.05,0,2193,359,0,1,0,1
2474.57,19,964,266,0,1,0,0
3782.73,10,2373,176,0,1,0,0
4322.22,20,818,234,0,0,1,0
1731.57,17,1429,158,1,0,0,0
2396.21,4,1511,161,0,0,1,0
597.84,12,3404,434,0,1,1,0
2482.71,20,436,426,1,0,0,0
4507.76,17,1536,90,1,1,0,1
4520.41,18,3667,171,0,0,0,0
993.05,7,562,222,0,1,0,0
1252.15,20,907,412,1,1,0,0
3386.62,4,959,225,1,1,0,1
292.39,21,2014,464,1,1,1,1
3573.27,15,812,215,0,1,1,1
4355.19,14,3358,29,0,1,0,0
3455.66,2,1666,281,1,0,0,1
1218.83,1,2824,272,0,0,0,0
4508.07,11,957,80,1,1,0,1
191.81,10,3325,249,0,0,1,0
4725.5,11,1248,117,1,1,1,1
1234.21,6,2891,378,0,0,1,0
1926.54,18,1294,13,1,1,1,1
3943.84,20,873,449,1,1,0,1
2086.97,15,1471,38,0,1,1,0
85.97,21,27,210,0,0,0,0
3620.53,2,2232,396,0,1,1,1
997.4,2,1570,108,1,0,1,1
3465.93,16,1890,412,0,0,1,0
4860.38,2,3116,354,1,0,1,1
3209.04,19,2572,372,0,1,1,1
301.15,16,1196,198,0,0,1,0
711.84,12,707,345,1,1,1,1
4396.43,23,792,109,1,1,1,1
2810.65,2,1471,167,0,1,0,1
4584.22,1,586,89,1,1,1,1
988.67,13,1223,28,0,1,0,0
3540.25,6,3995,407,1,1,0,1
2413.01,22,2079,399,1,0,0,0
3671.93,16,3640,28,0,0,1,0
3220.64,17,1951,487,0,1,0,0
1566.73,5,1637,202,0,1,1,0
3617.59,6,1123,291,0,1,0,0
2484.23,23,3970,60,1,1,1,1
4273.96,2,2257,324,1,1,1,1
1645.01,15,1802,95,1,0,1,0
819.39,16,821,79,1,0,1,0
450.17,1,3624,119,0,0,1,0
2777.19,0,214,190,0,1,0,1
3336.62,23,3346,143,0,1,0,0
4914.72,1,1030,70,1,0,1,1
3787.67,0,942,446,1,1,1,1
1309.87,12,1554,375,1,0,1,0
2231.76,19,412,67,1,1,1,1
4418.69,18,1354,406,0,1,0,0
2079.29,9,1624,457,1,0,1,0
4092.62,1,1879,224,0,0,1,1
263.11,10,478,92,0,1,0,0
4354.67,6,3735,80,0,1,1,1
3254.97,20,2047,1,0,1,1,1
2228.91,11,1419,193,1,1,0,0
1166.3,0,3314,263,1,0,1,1
3737.53,10,2877,73,0,1,0,0
4764.63,19,462,330,1,0,1,1
4778.08,4,1263,62,1,0,0,1
1760.96,14,1702,98,1,0,0,0
2320.01,8,314,197,0,1,0,0
1335.8,1,1209,80,0,0,0,0
3864.4,12,574,261,1,0,1,1
920.52,16,666,397,1,0,0,0
1108.75,9,858,358,1,1,1,1
2085.99,10,2535,56,1,1,0,0
3829.05,4,1571,468,1,0,1,1
3223.18,6,2540,296,1,1,0,1
1885.72,15,2359,250,0,1,0,0
4011.81,16,3708,217,1,1,1,1
4349.44,4,2596,6,1,0,1,1
3318.9,18,1464,164,1,1,1,1
1241.85,0,2763,163,0,1,0,0
3036.49,11,3672,270,1,1,0,1
3471.31,19,1652,137,0,1,0,0
1696.07,2,1616,7,0,1,1,1
4172.72,12,1100,120,1,1,0,1
411.57,18,761,497,0,1,0,0
1355.8,2,778,278,1,1,1,1
557.37,6,3319,78,1,0,0,0
1774.17,12,1654,68,1,0,1,0
2783.12,7,1780,363,0,0,1,0
3019.14,19,356,54,1,1,0,1
1688.68,8,3800,300,1,1,1,1
773.25,17,1037,186,1,1,0,0
1441.71,10,3340,147,1,1,1,1
3363.35,0,702,246,0,0,1,1
811.24,19,2762,216,1,0,0,0
1836.4,4,2400,429,0,0,1,0
2441.56,6,1792,354,0,1,0,0
884.41,8,3983,411,1,0,0,0
4447.44,8,2910,144,0,1,0,0
4067.05,21,2724,438,0,1,0,0
3615.51,14,3264,69,1,0,1,1
1865.54,8,1681,268,1,1,1,1
141.6,3,1592,386,1,0,1,1
616.31,8,2191,467,0,1,1,0
2824.48,9,1999,470,1,1,0,1
1391.97,12,2712,297,0,1,0,0
2042.44,11,3596,294,1,1,1,1
3514.62,17,1893,462,0,1,0,0
852.19,14,3869,78,0,0,0,0
384.84,6,2699,219,1,0,1,0
1610.48,15,1107,443,0,0,1,0
1989.51,13,1681,366,0,0,0,0
422.64,3,2981,225,0,0,1,0
1270.95,18,3169,203,1,0,1,0
2645.15,1,939,113,0,0,0,0
4651.05,4,1914,70,0,0,0,0
258.88,0,2647,4,0,1,1,1
72.36,16,628,475,0,1,0,0
756.07,9,3513,374,1,1,0,0
992.21,12,2365,190,0,1,0,0
30.02,19,2802,457,1,0,1,0
707.91,16,1103,474,0,1,0,0
4863.42,11,3119,384,1,0,0,0
3869.59,2,1674,448,1,0,1,1
4558.72,16,2467,97,0,0,1,0
3375.25,9,3296,56,0,1,1,1
264.82,5,668,364,0,0,1,0
3952.69,2,1452,105,1,0,1,1
3860.36,8,3811,468,1,1,0,1
4324.97,9,2093,50,1,1,0,1
3537.1,9,162,76,1,1,1,1
3213.59,3,1726,135,0,0,1,1
2311.04,10,3957,422,1,1,0,0
3553.94,3,3928,4,1,1,1,1
968.34,1,2319,23,1,1,0,1
4745.69,12,2545,258,0,0,0,0
1206.19,1,769,478,0,1,0,0
471.5,4,3316,213,1,1,0,1
3360.47,14,1409,157,1,0,1,1
1381.29,22,1361,171,1,1,1,1
4574.6,18,1652,415,0,0,1,0
4146.46,2,2203,64,0,1,1,1
3021.52,12,779,231,1,1,0,1
2310.61,1,3718,242,1,0,1,1
2152.75,0,1494,170,1,0,1,1
3588.96,13,3180,487,0,1,1,1
904.19,7,1864,266,1,0,0,0
610.97,14,2306,92,0,0,1,0
1043.15,10,2637,270,0,0,0,0
1971.84,11,1858,265,0,1,0,0
1449.87,10,573,376,0,1,1,0
1226.56,17,3964,99,0,1,1,0
293.34,21,2490,0,0,1,0,0
2410.89,11,3292,271,1,0,1,0
319.55,22,1438,330,1,1,1,1
1485.66,14,2758,146,1,0,0,0
4260.55,6,3329,441,1,1,0,1
1768.03,16,1923,253,1,0,1,0
1491.28,0,2803,236,0,1,1,1
3118.68,13,3787,96,1,1,1,1
74.08,15,69,260,1,1,0,1
1158.69,9,3198,426,1,0,0,0
4570.1,13,3103,456,1,0,0,0
2500.08,16,3957,429,0,1,0,0
208.06,18,2496,241,0,0,1,0
3644.3,11,2588,471,0,0,0,0
260.11,3,2224,98,1,1,0,1
1952.68,1,1110,141,1,0,1,1
2949.53,9,1574,298,1,1,1,1
1252.71,20,3822,321,1,0,1,0
162.0,2,2109,34,0,0,0,0
2064.55,8,350,225,0,1,1,0
3735.17,15,1421,99,0,0,1,0
1914.92,16,3867,286,0,0,1,0
663.59,1,3943,428,0,0,1,0
1356.3,17,3581,25,0,0,1,0
4990.04,2,1648,125,1,1,1,1
2640.53,4,1366,438,1,1,1,1
767.26,17,3506,57,1,1,1,1
2475.96,12,1633,384,1,1,0,0
4083.21,15,3004,191,1,0,1,1
3871.32,4,1300,255,0,0,0,0
200.47,23,2745,96,1,0,1,0
3292.26,11,2751,318,0,0,1,0
2559.04,7,3791,250,0,1,0,0
646.01,20,2529,44,0,0,0,0
3578.18,4,479,496,0,1,1,1
4138.2,6,3379,77,1,1,1,1
1898.93,9,338,405,0,0,0,0
4493.31,16,2941,2,0,1,0,1
2744.92,23,3665,343,0,0,0,0
4923.81,18,3452,8,0,1,0,0
4763.54,17,155,476,0,0,1,0
2601.71,15,3972,298,1,0,1,1
4585.23,19,1749,355,1,1,1,1
4650.09,19,1350,46,1,0,1,1
1290.94,19,2975,185,0,0,1,0
2901.31,7,990,196,1,1,0,1
1930.22,3,3032,183,0,1,0,0
1184.2,0,25,128,0,0,1,1
2187.58,18,3950,227,0,0,1,0
4952.9,19,3630,260,0,0,1,0
2938.55,8,2753,453,0,1,1,1
988.83,4,32,407,1,0,1,1
4773.2,18,2576,493,1,0,1,1
2880.32,18,3531,168,0,1,1,1
2635.79,13,766,448,1,1,1,1
4558.33,10,1234,264,1,0,1,1
3586.23,9,2614,411,0,0,1,0
3874.72,5,2234,368,0,0,1,0
819.05,8,960,83,0,1,1,0
3217.87,14,1710,323,0,1,1,1
834.54,16,3458,400,0,0,0,0
3059.94,3,3256,26,1,0,1,1
3348.79,1,686,425,1,1,1,1
4922.56,20,1911,185,1,1,0,1
3838.96,11,963,463,0,1,0,0
766.76,5,2423,297,1,1,1,1
2970.71,19,1793,346,1,1,0,1
1724.89,12,969,493,0,1,0,0
2186.73,23,2643,464,0,1,0,0
407.18,13,1314,163,1,0,1,0
3119.0,0,428,441,0,1,0,1
3808.73,13,3268,396,1,0,0,0
232.35,15,3444,238,1,1,0,0
272.58,5,2098,227,0,1,0,0
2445.11,9,2101,85,0,1,0,0
4484.8,10,774,416,0,0,0,0
3208.21,22,117,483,1,1,0,1
3219.03,5,1071,295,0,0,0,0
3056.83,4,1219,156,1,0,0,1
3311.11,6,1326,80,0,0,0,0
219.13,16,1875,329,1,0,1,0
3795.73,10,279,487,1,0,0,0
1136.67,8,399,121,1,1,1,1
3848.59,19,3233,28,1,1,1,1
3571.75,7,652,40,0,0,0,0
3217.34,16,1938,230,0,1,1,1
2722.08,16,2741,255,1,0,1,1
434.84,21,118,232,0,0,1,0
4877.07,8,168,434,1,1,1,1
1160.98,7,1914,267,1,0,1,0
